id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x00000201361B2BA8;pipe21_feed;out1;consumer21;in1;['T'];[];nan;False;False;pipe21_feed:out1_consumer21:in1;0.1806742481141452;kg / s;False;0.1806742481141452;False;nan;nan;nan;False;6.22524247696309;bar;False;6.22524247696309;False;nan;nan;nan;False;327.5681591892402;kJ / kg;False;327.5681591892402;False;nan;nan;nan;False;78.11630006355142;C;False;78.11630006355142;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0001856518986222115;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361B80F0;pipe22_feed;out1;consumer22;in1;['T'];[];nan;False;False;pipe22_feed:out1_consumer22:in1;0.10548099452380548;kg / s;False;0.10548099452380548;False;nan;nan;nan;False;6.21812709857036;bar;False;6.21812709857036;False;nan;nan;nan;False;325.5119581671853;kJ / kg;False;325.5119581671853;False;nan;nan;nan;False;77.6261700260747;C;False;77.6261700260747;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00010835367586517243;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361B85F8;pipe24_feed;out1;consumer24;in1;['T'];[];nan;False;False;pipe24_feed:out1_consumer24:in1;0.06450347856127497;kg / s;False;0.06450347856127497;False;nan;nan;nan;False;6.210850261940981;bar;False;6.210850261940981;False;nan;nan;nan;False;323.72576978913804;kJ / kg;False;323.72576978913804;False;nan;nan;nan;False;77.20039021056226;C;False;77.20039021056226;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.624253113014653e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361B8B00;pipe26_feed;out1;consumer26;in1;['T'];[];nan;False;False;pipe26_feed:out1_consumer26:in1;0.05503885220720903;kg / s;False;0.05503885220720903;False;nan;nan;nan;False;6.148448321516962;bar;False;6.148448321516962;False;nan;nan;nan;False;321.5471387307079;kJ / kg;False;321.5471387307079;False;nan;nan;nan;False;76.68204706448017;C;False;76.68204706448017;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;5.650462833599656e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361BC048;pipe28_feed;out1;consumer28;in1;['T'];[];nan;False;False;pipe28_feed:out1_consumer28:in1;0.0652945737438232;kg / s;False;0.0652945737438232;False;nan;nan;nan;False;6.0456433949697725;bar;False;6.0456433949697725;False;nan;nan;nan;False;322.58472371567035;kJ / kg;False;322.58472371567035;False;nan;nan;nan;False;76.93145268527638;C;False;76.93145268527638;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.704420492034843e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361BC550;pipe30_feed;out1;consumer30;in1;['T'];[];nan;False;False;pipe30_feed:out1_consumer30:in1;0.045884743666553304;kg / s;False;0.045884743666553304;False;nan;nan;nan;False;6.005399457288659;bar;False;6.005399457288659;False;nan;nan;nan;False;317.86499436817974;kJ / kg;False;317.86499436817974;False;nan;nan;nan;False;75.80661413252193;C;False;75.80661413252193;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.708149386731575e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361BCA58;pipe32_feed;out1;consumer32;in1;['T'];[];nan;False;False;pipe32_feed:out1_consumer32:in1;0.030750900792307533;kg / s;False;0.030750900792307533;False;nan;nan;nan;False;5.9690642311082165;bar;False;5.9690642311082165;False;nan;nan;nan;False;311.985389288744;kJ / kg;False;311.985389288744;False;nan;nan;nan;False;74.40479971076985;C;False;74.40479971076985;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.152588047498744e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361BCF60;pipe34_feed;out1;consumer34;in1;['T'];[];nan;False;False;pipe34_feed:out1_consumer34:in1;0.06793187006287964;kg / s;False;0.06793187006287964;False;nan;nan;nan;False;5.961199182085638;bar;False;5.961199182085638;False;nan;nan;nan;False;319.0100753069403;kJ / kg;False;319.0100753069403;False;nan;nan;nan;False;76.08057186399827;C;False;76.08057186399827;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.971558673531929e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C14A8;pipe36_feed;out1;consumer36;in1;['T'];[];nan;False;False;pipe36_feed:out1_consumer36:in1;0.04725791292967769;kg / s;False;0.04725791292967769;False;nan;nan;nan;False;5.836499085233309;bar;False;5.836499085233309;False;nan;nan;nan;False;315.31758800154836;kJ / kg;False;315.31758800154836;False;nan;nan;nan;False;75.20224603634927;C;False;75.20224603634927;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.847281953701943e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C19B0;pipe38_feed;out1;consumer38;in1;['T'];[];nan;False;False;pipe38_feed:out1_consumer38:in1;0.03182659327352025;kg / s;False;0.03182659327352025;False;nan;nan;nan;False;5.828000312474254;bar;False;5.828000312474254;False;nan;nan;nan;False;309.22561805608;kJ / kg;False;309.22561805608;False;nan;nan;nan;False;73.74910572286188;C;False;73.74910572286188;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.2615902989658136e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C1EB8;pipe40_feed;out1;consumer40;in1;['T'];[];nan;False;False;pipe40_feed:out1_consumer40:in1;0.14087500983088178;kg / s;False;0.14087500983088178;False;nan;nan;nan;False;5.792344164232124;bar;False;5.792344164232124;False;nan;nan;nan;False;319.403059697355;kJ / kg;False;319.403059697355;False;nan;nan;nan;False;76.17753737204265;C;False;76.17753737204265;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00014458381841847537;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C6400;pipe42_feed;out1;consumer42;in1;['T'];[];nan;False;False;pipe42_feed:out1_consumer42:in1;0.0722766507304081;kg / s;False;0.0722766507304081;False;nan;nan;nan;False;5.813880526728535;bar;False;5.813880526728535;False;nan;nan;nan;False;313.68811506472434;kJ / kg;False;313.68811506472434;False;nan;nan;nan;False;74.81398606329134;C;False;74.81398606329134;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;7.41171857090923e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C6908;pipe44_feed;out1;consumer44;in1;['T'];[];nan;False;False;pipe44_feed:out1_consumer44:in1;0.06373571890123539;kg / s;False;0.06373571890123539;False;nan;nan;nan;False;5.812382452614419;bar;False;5.812382452614419;False;nan;nan;nan;False;309.12257272547254;kJ / kg;False;309.12257272547254;False;nan;nan;nan;False;73.7248220280573;C;False;73.7248220280573;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.531547147492522e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361C6E10;pipe45_feed;out1;consumer45;in1;['T'];[];nan;False;False;pipe45_feed:out1_consumer45:in1;0.07538273998364152;kg / s;False;0.07538273998364152;False;nan;nan;nan;False;5.80032759947077;bar;False;5.80032759947077;False;nan;nan;nan;False;310.2664173974535;kJ / kg;False;310.2664173974535;False;nan;nan;nan;False;73.99795697875743;C;False;73.99795697875743;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;7.726400526296991e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361CB898;consumer5;out1;pipe5_back;in1;[];[];nan;False;False;consumer5:out1_pipe5_back:in1;0.05362097253632607;kg / s;False;0.05362097253632607;False;nan;nan;nan;False;5.669671420163051;bar;False;5.669671420163051;False;0x0000020135DE62E8;1.0;-75000.0;True;230.72529828567923;kJ / kg;False;230.72529828567923;False;nan;nan;nan;False;55.00000000000318;C;False;55.00000000000318;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;5.4388047272354124e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361CBDD8;consumer15;out1;pipe15_back;in1;[];[];nan;False;False;consumer15:out1_pipe15_back:in1;0.42662011859714244;kg / s;False;0.42662011859714244;False;nan;nan;nan;False;4.157733801840017;bar;False;4.157733801840017;False;0x00000201361B2198;1.0;-75000.0;True;230.59665113896696;kJ / kg;False;230.59665113896696;False;nan;nan;nan;False;55.0000000000025;C;False;55.0000000000025;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0004327520791159311;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D0358;consumer17;out1;pipe17_back;in1;[];[];nan;False;False;consumer17:out1_pipe17_back:in1;0.16402955572744501;kg / s;False;0.16402955572744501;False;nan;nan;nan;False;4.437101231219158;bar;False;4.437101231219158;False;0x00000201361B26A0;1.0;-75000.0;True;230.62042230525438;kJ / kg;False;230.62042230525438;False;nan;nan;nan;False;55.000000000009095;C;False;55.000000000009095;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0001663851531355055;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D0898;consumer21;out1;pipe21_back;in1;[];[];nan;False;False;consumer21:out1_pipe21_back:in1;0.1806742481141452;kg / s;False;0.1806742481141452;False;nan;nan;nan;False;5.47524247696309;bar;False;5.47524247696309;False;0x00000201361B2BA8;1.0;-75000.0;True;230.70875513657205;kJ / kg;False;230.70875513657205;False;nan;nan;nan;False;55.000000000000966;C;False;55.000000000000966;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0001832604594238958;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D0DD8;consumer22;out1;pipe22_back;in1;[];[];nan;False;False;consumer22:out1_pipe22_back:in1;0.10548099452380548;kg / s;False;0.10548099452380548;False;nan;nan;nan;False;5.46812709857036;bar;False;5.46812709857036;False;0x00000201361B80F0;1.0;-75000.0;True;230.70814971671467;kJ / kg;False;230.70814971671467;False;nan;nan;nan;False;55.00000000000165;C;False;55.00000000000165;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0001069909065798951;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D7358;consumer24;out1;pipe24_back;in1;[];[];nan;False;False;consumer24:out1_pipe24_back:in1;0.06450347856127497;kg / s;False;0.06450347856127497;False;nan;nan;nan;False;5.460850261940981;bar;False;5.460850261940981;False;0x00000201361B85F8;1.0;-75000.0;True;230.70753055882568;kJ / kg;False;230.70753055882568;False;nan;nan;nan;False;55.0000000000054;C;False;55.0000000000054;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.542683733237624e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D7898;consumer26;out1;pipe26_back;in1;[];[];nan;False;False;consumer26:out1_pipe26_back:in1;0.05503885220720903;kg / s;False;0.05503885220720903;False;nan;nan;nan;False;5.398448321516962;bar;False;5.398448321516962;False;0x00000201361B8B00;1.0;-75000.0;True;230.7022210137448;kJ / kg;False;230.7022210137448;False;nan;nan;nan;False;55.00000000000165;C;False;55.00000000000165;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;5.5826880211210055e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361D7DD8;consumer28;out1;pipe28_back;in1;[];[];nan;False;False;consumer28:out1_pipe28_back:in1;0.0652945737438232;kg / s;False;0.0652945737438232;False;nan;nan;nan;False;5.2956433949697725;bar;False;5.2956433949697725;False;0x00000201361BC048;1.0;-75000.0;True;230.69347370858088;kJ / kg;False;230.69347370858088;False;nan;nan;nan;False;54.999999999994884;C;False;54.999999999994884;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.622974096648101e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361DC358;consumer30;out1;pipe30_back;in1;[];[];nan;False;False;consumer30:out1_pipe30_back:in1;0.045884743666553304;kg / s;False;0.045884743666553304;False;nan;nan;nan;False;5.255399457288659;bar;False;5.255399457288659;False;0x00000201361BC550;1.0;-75000.0;True;230.6900494874107;kJ / kg;False;230.6900494874107;False;nan;nan;nan;False;54.999999999998465;C;False;54.999999999998465;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.654200071246599e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361DC898;consumer32;out1;pipe32_back;in1;[];[];nan;False;False;consumer32:out1_pipe32_back:in1;0.030750900792307533;kg / s;False;0.030750900792307533;False;nan;nan;nan;False;5.2190642311082165;bar;False;5.2190642311082165;False;0x00000201361BCA58;1.0;-75000.0;True;230.6869578416436;kJ / kg;False;230.6869578416436;False;nan;nan;nan;False;55.000000000003865;C;False;55.000000000003865;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.1191429499431416e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361DCDD8;consumer34;out1;pipe34_back;in1;[];[];nan;False;False;consumer34:out1_pipe34_back:in1;0.06793187006287964;kg / s;False;0.06793187006287964;False;nan;nan;nan;False;5.211199182085639;bar;False;5.211199182085639;False;0x00000201361BCF60;1.0;-75000.0;True;230.68628862999128;kJ / kg;False;230.68628862999128;False;nan;nan;nan;False;54.99999999998897;C;False;54.99999999998897;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.890506679471695e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E1358;consumer36;out1;pipe36_back;in1;[];[];nan;False;False;consumer36:out1_pipe36_back:in1;0.04725791292967769;kg / s;False;0.04725791292967769;False;nan;nan;nan;False;5.086499085233308;bar;False;5.086499085233308;False;0x00000201361C14A8;1.0;-75000.0;True;230.67567827624558;kJ / kg;False;230.67567827624558;False;nan;nan;nan;False;54.9999999999996;C;False;54.9999999999996;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.793519754966942e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E1898;consumer38;out1;pipe38_back;in1;[];[];nan;False;False;consumer38:out1_pipe38_back:in1;0.03182659327352025;kg / s;False;0.03182659327352025;False;nan;nan;nan;False;5.078000312474253;bar;False;5.078000312474253;False;0x00000201361C19B0;1.0;-75000.0;True;230.67495513985762;kJ / kg;False;230.67495513985762;False;nan;nan;nan;False;54.99999999999949;C;False;54.99999999999949;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.228273351372248e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E1DD8;consumer40;out1;pipe40_back;in1;[];[];nan;False;False;consumer40:out1_pipe40_back:in1;0.14087500983088178;kg / s;False;0.14087500983088178;False;nan;nan;nan;False;5.042344164232124;bar;False;5.042344164232124;False;0x00000201361C1EB8;1.0;-75000.0;True;230.67192125764126;kJ / kg;False;230.67192125764126;False;nan;nan;nan;False;55.00000000000432;C;False;55.00000000000432;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00014289426254773284;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E5358;consumer42;out1;pipe42_back;in1;[];[];nan;False;False;consumer42:out1_pipe42_back:in1;0.0722766507304081;kg / s;False;0.0722766507304081;False;nan;nan;nan;False;5.063880526728535;bar;False;5.063880526728535;False;0x00000201361C6400;1.0;-75000.0;True;230.67375372720196;kJ / kg;False;230.67375372720196;False;nan;nan;nan;False;54.99999999999363;C;False;54.99999999999363;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;7.331256890409365e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E5898;consumer44;out1;pipe44_back;in1;[];[];nan;False;False;consumer44:out1_pipe44_back:in1;0.06373571890123539;kg / s;False;0.06373571890123539;False;nan;nan;nan;False;5.062382452614419;bar;False;5.062382452614419;False;0x00000201361C6908;1.0;-75000.0;True;230.67362626033614;kJ / kg;False;230.67362626033614;False;nan;nan;nan;False;54.99999999998903;C;False;54.99999999998903;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.464922690890732e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E5DD8;consumer45;out1;pipe45_back;in1;[];[];nan;False;False;consumer45:out1_pipe45_back:in1;0.07538273998364152;kg / s;False;0.07538273998364152;False;nan;nan;nan;False;5.050327599470771;bar;False;5.050327599470771;False;0x00000201361C6E10;1.0;-75000.0;True;230.67260054624813;kJ / kg;False;230.67260054624813;False;nan;nan;nan;False;54.999999999999716;C;False;54.999999999999716;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;7.646322259097942e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000201361E9400;K3_splitter;out1;pipe4_feed;in1;[];[];nan;False;False;K3_splitter:out1_pipe4_feed:in1;1.1005352598576892;kg / s;False;1.1005352598576892;False;nan;nan;nan;False;6.497562260250583;bar;False;6.497562260250583;False;nan;nan;nan;False;334.31492026545567;kJ / kg;False;334.31492026545567;False;nan;nan;nan;False;79.71948719360171;C;False;79.71948719360171;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0011319925463937994;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
